"References","Qty","DNF","Manufacturer","Mouser","RS","manf#","mpn"
"C1","1","","KEMET","80-C1206C226M8R","802-9967","C1206C226M8RACTU","C1206C226M8RACTU"
"C2","1","","Panasonic","667-EEE-FTV151XAV","","EEE-FTV151XAV","EEE-FTV151XAV"
"C3","1","","TDK","810-CGA5L1X7R1V106KE","915-5354","CGA5L1X7R1V106K160AE","CGA5L1X7R1V106K160AE"
"C4, C10, C11, C12","4","1","TDK","810-CGA2B3X7R1V104K","915-5635","CGA2B3X7R1V104K050BB","CGA2B3X7R1V104K050BB"
"C5, C7","2","","Yageo","603-CC603KRX7R9BB105","200-6596","CC0603KRX7R9BB105","CC0603KRX7R9BB105"
"C6","1","","Murata","81-GCM155R71H103KA5D","723-4954","GCM155R71H103KA55D","GCM155R71H103KA55D"
"C8, C9","2","","TDK","10-CGA3E2X7R1H104K","788-2985","CGA3E2X7R1H104K080AA","CGA3E2X7R1H104K080AA"
"D1","1","","OSRAM Opto","720-LOQ976-PS-25","654-5795","LO Q976","LO Q976-PS-25"
"D2","1","","OSRAM Opto","720-LBQ39GN1P1351","697-3610","LB Q39G-N1OO-35-1","LB Q39G-N1OO-35-1"
"D3","1","","OSRAM Opto","720-LTQ39GQ1S22515","697-3715","LT Q39G-Q1OO-25-1","LT Q39G-Q1OO-25-1"
"D4","1","","Kingbright ","","466-3728","KP-1608SRC-PRV","KP-1608SRC-PRV"
"D5","1","","Taiwan Semiconductor","821-TSZU52C5V1RGG","","TSZU52C5V1 RGG","TSZU52C5V1 RGG"
"F1","1","","Bourns","652-MF-ASML020/6-2","","MF-ASML020/6-2","MF-ASML020/6-2"
"JP1","1","","Samtec","200-TMS10301GS","180-0478","TMS-103-01-G-S","TMS-103-01-G-S"
"JP2","1","","Samtec","200-TMS10201GS","180-0534","TMS-102-01-G-S","TMS-102-01-G-S"
"L1","1","","Taiyo Yuden","963-CBC3225T470KRV","","CBC3225T470KRV","CBC3225T470KRV"
"P1","1","","Samtec","200-SSW10803GS","","SSW-108-03-G-S","SSW-108-03-G-S"
"P2","1","","Samtec","200-SSW10603GS","","SSW-106-03-G-S","SSW-106-03-G-S"
"P3","1","","Samtec","200-SSW11003GS","","SSW-110-03-G-S","SSW-110-03-G-S"
"P4","1","","Samtec","200-SSW10803GS","","SSW-108-03-G-S","SSW-108-03-G-S"
"P5, P6, P7, P8","4","1","","","","",""
"P9","1","","Molex","538-39773-0002","","39773-0002","39773-0002"
"P10","1","","Molex","538-39773-0003","","39773-0003","39773-0003"
"P11","1","","Molex","538-53047-0810","279-9241","53047-0810","53047-0810"
"R1, R3, R5, R7, R8, R13","6","","Vishay","71-CRCW06031K00FKEAC","","CRCW06031K00FKEAC","CRCW06031K00FKEAC"
"R2, R4, R6","3","","Rohm","755-ESR03EZPF5101","","ESR03EZPF5101","ESR03EZPF5101"
"R9, R10, R11, R12, R14, R15, R16, R17","8","","Vishay","71-CRCW06030000Z0EBC","","CRCW06030000Z0EBC","CRCW06030000Z0EBC"
"R18, R19, R20, R21, R22, R23","6","1","Vishay","71-CRCW040210K0JNEDC","","CRCW040210K0JNEDC","CRCW040210K0JNEDC"
"U1","1","","TI","","","MCT8316Z","MCT8316Z"
