References	Qty	DNF	Manf	OrderCode	Provider	manf#	mpn
C1	1		KEMET	802-9967	RS	C1206C226M8RACTU	C1206C226M8RACTU
C2	1		Panasonic	667-EEE-FTV151XAV	Mouser	EEE-FTV151XAV	EEE-FTV151XAV
C3	1		TDK	915-5354	RS	CGA5L1X7R1V106K160AE	CGA5L1X7R1V106K160AE
C4, C10, C11, C12	4	1	TDK	915-5635	RS	CGA2B3X7R1V104K050BB	CGA2B3X7R1V104K050BB
C5, C7	2		Yageo	200-6596	RS	CC0603KRX7R9BB105	CC0603KRX7R9BB105
C6	1		Murata	723-4954	RS	GCM155R71H103KA55D	GCM155R71H103KA55D
C8, C9	2		TDK	788-2985	RS	CGA3E2X7R1H104K080AA	CGA3E2X7R1H104K080AA
D1	1		OSRAM Opto	654-5795	RS	LO Q976	LO Q976
D2	1		OSRAM Opto 	697-3610	RS	LB Q39G-N1OO-35-1	LB Q39G-N1OO-35-1
D3	1		OSRAM Opto 	697-3715	RS	LT Q39G-Q1OO-25-1	LT Q39G-Q1OO-25-1
D4	1		Kingbright 	466-3728	RS	KP-1608SRC-PRV	KP-1608SRC-PRV
D5	1		Taiwan Semiconductor	821-TSZU52C5V1RGG	Mouser	TSZU52C5V1 RGG	TSZU52C5V1 RGG
F1	1		Bourns	652-MF-ASML020/6-2	Mouser	MF-ASML020/6-2	MF-ASML020/6-2
JP1	1		Samtec		Mouser	TMS-103-01-G-S	TMS-103-01-G-S
JP2	1		Samtec		Mouser	TMS-102-01-G-S	TMS-102-01-G-S
L1	1		Taiyo Yuden	963-CBC3225T470KRV	Mouser	CBC3225T470KRV	CBC3225T470KRV
P1	1		Samtec			SSW-108-03-G-S	SSW-108-03-G-S
P2	1		Samtec			SSW-106-03-G-S	SSW-106-03-G-S
P3	1		Samtec			SSW-110-03-G-S	SSW-110-03-G-S
P4	1		Samtec			SSW-108-03-G-S	SSW-108-03-G-S
P5, P6, P7, P8	4	1					
P9	1		Molex			39773-0002	39773-0002
P10	1		Molex			39773-0003	39773-0003
P11	1		Molex			53047-0810	53047-0810
R1, R3, R5, R7, R8, R13	6		Vishay	71-CRCW06031K00FKEAC	Mouser	CRCW06031K00FKEAC	CRCW06031K00FKEAC
R2, R4, R6	3		Rohm	755-ESR03EZPF5101	Mouser	ESR03EZPF5101	ESR03EZPF5101
R9, R10, R11, R12, R14, R15, R16, R17	8		Vishay	71-CRCW06030000Z0EBC	Mouser	CRCW06030000Z0EBC	CRCW06030000Z0EBC
R18, R19, R20, R21, R22, R23	6	1	Vishay	71-CRCW040210K0JNEDC	Mouser	CRCW040210K0JNEDC	CRCW040210K0JNEDC
U1	1		TI			MCT8316Z	MCT8316Z
